+-------------+--------------+--------------+-----------------------+------------------+-----+
| c_last_name | c_first_name | c_salutation | c_preferred_cust_flag | ss_ticket_number | cnt |
+-------------+--------------+--------------+-----------------------+------------------+-----+
| Aaron       | Edward       | Sir          | N                     | 36897803         | 16  |
| Aaron       | Elizabeth    | Dr.          | N                     | 65892879         | 15  |
| Aaron       | Kristopher   | Sir          | N                     | 36088428         | 15  |
| Abbott      | Estella      | Mrs.         | Y                     | 49422438         | 16  |
| Abel        | John         | Dr.          | Y                     | 46478844         | 16  |
| Abel        | Kristen      | Dr.          | Y                     | 37629536         | 15  |
| Abell       | Deborah      | Ms.          | N                     | 60907151         | 15  |
| Abraham     | Bruce        | Dr.          | Y                     | 56965985         | 16  |
| Abrams      | Ursula       | Ms.          | N                     | 60785438         | 15  |
| Acevedo     | Kimberly     | Miss         | N                     | 46687438         | 15  |
| Acevedo     | Matthew      | Sir          | N                     | 67174145         | 15  |
| Acosta      | Charles      | Sir          | N                     | 66472472         | 16  |
| Acosta      | Kathleen     | Ms.          | N                     | 67237052         | 15  |
| Adair       | Jerry        | Dr.          | N                     | 44742688         | 15  |
| Adam        | Harold       | Dr.          | Y                     | 50382571         | 15  |
| Adams       | Albert       | Ms.          | Y                     | 40764123         | 15  |
| Adams       | Amy          | Ms.          | Y                     | 51247353         | 15  |
| Adams       | Antonio      | Mrs.         | N                     | 46555353         | 15  |
| Adams       | Barbara      | Mrs.         | Y                     | 36571253         | 15  |
| Adams       | Cynthia      | Dr.          | N                     | 43239751         | 15  |
| Adams       | Danette      | Mrs.         | Y                     | 59148867         | 16  |
| Adams       | David        | Dr.          | Y                     | 48022656         | 16  |
| Adams       | Eleanor      | Dr.          | N                     | 42810351         | 15  |
| Adams       | Gilbert      | Sir          | N                     | 38785593         | 16  |
| Adams       | Gordon       | Mr.          | Y                     | 63312371         | 15  |
| Adams       | Herbert      | Sir          | N                     | 58801548         | 15  |
| Adams       | James        | Dr.          | Y                     | 44627072         | 16  |
| Adams       | John         | Mr.          | Y                     | 60379762         | 15  |
| Adams       | Julie        | Ms.          | Y                     | 40385874         | 16  |
| Adams       | Kathaleen    | Mrs.         | Y                     | 49837739         | 15  |
| Adams       | Kevin        | Mr.          | Y                     | 68470640         | 15  |
| Adams       | Kevin        | Mr.          | Y                     | 69346658         | 15  |
| Adams       | Kevin        | Sir          | Y                     | 59031737         | 15  |
| Adams       | Laurel       | Dr.          | N                     | 64274331         | 16  |
| Adams       | Margaret     | Ms.          | Y                     | 58778481         | 15  |
| Adams       | Natasha      | Dr.          | N                     | 41915302         | 15  |
| Adams       | Sarah        | Ms.          | Y                     | 65310899         | 15  |
| Adams       | Selena       | Dr.          | N                     | 47664771         | 16  |
| Adams       | Seth         | Sir          | N                     | 71803361         | 15  |
| Adams       | Stephen      | NULL         | Y                     | 50063390         | 15  |
| Adams       | NULL         | Dr.          | Y                     | 49878649         | 15  |
| Adamson     | Cameron      | Mr.          | Y                     | 44361876         | 15  |
| Addison     | Richard      | Sir          | N                     | 62725788         | 16  |
| Adkins      | Robert       | Mr.          | Y                     | 59328739         | 15  |
| Adler       | Mariel       | Mrs.         | N                     | 46210468         | 15  |
| Agnew       | Betty        | Miss         | Y                     | 45994237         | 16  |
| Aguiar      | Alberta      | Mrs.         | N                     | 40228213         | 15  |
| Aguilar     | Betty        | Dr.          | N                     | 49167406         | 16  |
| Aguilar     | Robert       | Dr.          | N                     | 69285986         | 15  |
| Aguilar     | Sherri       | Miss         | N                     | 39764571         | 16  |
| Aguilera    | Lidia        | Dr.          | Y                     | 37154317         | 15  |
| Aguirre     | George       | Mr.          | Y                     | 47890656         | 15  |
| Aguirre     | Rita         | Ms.          | N                     | 57491495         | 15  |
| Aguirre     | Yvonne       | Ms.          | N                     | 51387258         | 15  |
